Delivery_ID,Latitude,Longitude,Weight_Kg
D001,25.7393,90.658,62
D002,24.4286,70.4846,92
D003,25.7486,87.6531,63
D004,22.7647,79.3573,55
D005,23.506,86.8319,71
D006,16.343,77.2809,20
D007,25.9715,87.095,53
D008,24.0952,89.5661,72
D009,12.3872,82.5376,92
D010,10.794,78.8428,69
D011,15.0014,75.1089,17
D012,14.2157,96.4162,52
D013,13.1296,82.5078,29
D014,32.8959,83.241,99
D015,14.0858,69.4719,30
D016,13.6303,77.5808,24
D017,25.5029,78.7072,25
D018,32.2459,84.0115,84
D019,11.4339,80.898,94
D020,24.037,77.2253,66
D021,12.0525,77.9542,66
D022,9.6532,94.0329,44
D023,29.3531,91.4148,56
D024,8.4509,93.6836,82
D025,9.0903,85.0417,7
D026,34.9378,83.122,88
D027,16.3388,79.6876,79
D028,11.8288,95.3549,49
D029,21.973,81.2135,11
D030,14.1666,81.125,96
D031,12.3115,96.8155,15
D032,14.2753,81.661,88
D033,10.6825,70.2582,81
D034,12.3079,78.1423,63
D035,14.1212,81.2121,61
D036,19.2591,70.3612,63
D037,32.3633,85.2842,31
D038,23.9306,76.8582,86
D039,8.0222,87.3521,99
D040,9.269,92.0551,79
D041,32.2828,87.3024,75
D042,8.2473,75.2294,67
D043,18.4562,94.4404,16
D044,34.4094,96.0649,18
D045,10.9079,80.2794,72
D046,15.3766,79.5076,72
D047,22.063,85.3141,97
D048,31.4392,84.5371,86
D049,12.967,82.6792,81
D050,17.8399,78.2783,89
