Date,Ticker,Close_Price
2025-01-01,AAPL,317.4
2025-01-01,MSFT,215.49
2025-01-01,GOOGL,120.34
2025-01-01,AMZN,191.52
2025-01-01,META,169.83
2025-01-02,AAPL,323.55
2025-01-02,MSFT,222.59
2025-01-02,GOOGL,116.82
2025-01-02,AMZN,192.07
2025-01-02,META,169.53
2025-01-03,AAPL,310.26
2025-01-03,MSFT,221.74
2025-01-03,GOOGL,113.79
2025-01-03,AMZN,191.49
2025-01-03,META,172.22
2025-01-06,AAPL,316.77
2025-01-06,MSFT,225.66
2025-01-06,GOOGL,110.43
2025-01-06,AMZN,185.6
2025-01-06,META,178.1
2025-01-07,AAPL,323.93
2025-01-07,MSFT,227.36
2025-01-07,GOOGL,110.17
2025-01-07,AMZN,177.05
2025-01-07,META,171.38
2025-01-08,AAPL,324.34
2025-01-08,MSFT,233.05
2025-01-08,GOOGL,108.69
2025-01-08,AMZN,173.05
2025-01-08,META,171.19
2025-01-09,AAPL,329.94
2025-01-09,MSFT,231.68
2025-01-09,GOOGL,109.43
2025-01-09,AMZN,170.22
2025-01-09,META,170.25
2025-01-10,AAPL,333.55
2025-01-10,MSFT,230.11
2025-01-10,GOOGL,108.53
2025-01-10,AMZN,171.43
2025-01-10,META,168.27
2025-01-13,AAPL,330.07
2025-01-13,MSFT,224.23
2025-01-13,GOOGL,112.19
2025-01-13,AMZN,173.75
2025-01-13,META,171.44
2025-01-14,AAPL,339.14
2025-01-14,MSFT,230.33
2025-01-14,GOOGL,112.02
2025-01-14,AMZN,175.83
2025-01-14,META,162.51
2025-01-15,AAPL,343.17
2025-01-15,MSFT,225.03
2025-01-15,GOOGL,113.39
2025-01-15,AMZN,176.01
2025-01-15,META,162.39
2025-01-16,AAPL,345.99
2025-01-16,MSFT,221.3
2025-01-16,GOOGL,115.49
2025-01-16,AMZN,173.46
2025-01-16,META,168.94
2025-01-17,AAPL,350.92
2025-01-17,MSFT,215.21
2025-01-17,GOOGL,117.41
2025-01-17,AMZN,176.58
2025-01-17,META,172.91
2025-01-20,AAPL,358.24
2025-01-20,MSFT,216.13
2025-01-20,GOOGL,117.22
2025-01-20,AMZN,173.44
2025-01-20,META,168.23
2025-01-21,AAPL,359.14
2025-01-21,MSFT,208.07
2025-01-21,GOOGL,116.48
2025-01-21,AMZN,172.48
2025-01-21,META,162.67
2025-01-22,AAPL,355.38
