Store_ID,Latitude,Longitude,Monthly_Revenue
S001,21.2809,73.2019,403848
S002,15.139,95.1091,238432
S003,28.4794,96.0964,391026
S004,33.1388,78.4555,327583
S005,11.937,86.1383,315354
S006,15.3436,70.7461,446221
S007,21.551,86.3165,291885
S008,8.9444,76.9483,297629
S009,21.3758,82.0234,309172
S010,30.9603,89.4869,413532
S011,10.6972,88.2027,253218
S012,8.4616,73.6403,312176
S013,22.3236,70.0168,279319
S014,30.0767,84.9936,334754
S015,8.5134,82.3041,412455
S016,8.1458,72.8158,289596
S017,9.7838,68.2313,352874
S018,16.231,68.4108,383838
S019,14.6862,68.2777,221494
S020,8.7544,84.901,274862
S021,31.7887,92.7766,378214
S022,12.96,76.2636,281522
S023,20.4989,89.4243,311742
S024,10.5878,73.6757,346444
S025,27.8977,86.6083,387278
S026,26.6775,70.6686,371108
S027,15.8333,78.8473,335609
S028,22.3441,68.1244,335719
S029,12.7096,77.1532,398597
S030,32.3344,83.956,398944
